Electricity_Demand_MW,H2_Demand_tonne,Solar_Capacity_Factor,NG_Demand_MMBtu
9127,8.68,0,8.68
8436,5.15,0,5.15
7681,2.91,0,2.91
7087,2.86,0,2.86
6762,2.02,0,2.02
6596,1.96,0,1.96
6546,2.74,0,2.74
6599,5.09,0,5.09
6846,8.36,0,8.36
7298,12.69,0.0002,12.69
7929,17.24,0.0882,17.24
8648,21.85,0.2562,21.85
9085,24.2,0.3786,24.2
9334,24.98,0.4047,24.98
9377,26.13,0.4264,26.13
9296,27.76,0.4633,27.76
9083,28.98,0.4704,28.98
8884,30.4,0.4735,30.4
8759,31.19,0.4192,31.19
8773,29.64,0.3137,29.64
8886,26.81,0.1351,26.81
8981,22.28,0,22.28
9364,17.32,0,17.32
9322,13.22,0,13.22
8950,10.32,0,10.32
8389,7.2,0,7.2
7741,4.66,0,4.66
7224,2.88,0,2.88
6903,3.71,0,3.71
6749,1.36,0,1.36
6689,2.12,0,2.12
6718,3.96,0,3.96
6906,6.5,0,6.5
7185,9.93,0.037,9.93
7596,14.06,0.2248,14.06
8115,18.37,0.4018,18.37
8450,23.64,0.5175,23.64
8577,27.01,0.5659,27.01
8599,27.7,0.5358,27.7
8594,27.58,0.5103,27.58
8540,26.75,0.49,26.75
8484,26.18,0.4501,26.18
8534,25.04,0.3662,25.04
8782,23.83,0.213,23.83
9153,21.36,0.0551,21.36
9422,18.37,0,18.37
9736,14.69,0,14.69
9489,11.71,0,11.71
8872,9.1,0,9.1
8082,6.56,0,6.56
7355,4.47,0,4.47
6876,1.62,0,1.62
6614,1.22,0,1.22
6517,1.75,0,1.75
6532,4,0,4
6766,8.24,0,8.24
7523,13.41,0,13.41
8816,16.79,0.0202,16.79
9589,19.24,0.2003,19.24
9819,20.24,0.3569,20.24
9916,21.43,0.4826,21.43
9965,25.41,0.5807,25.41
9892,27.06,0.6111,27.06
9751,27.86,0.6514,27.86
9647,27.33,0.6594,27.33
9471,27.06,0.6682,27.06
9332,25.94,0.5455,25.94
9325,24.61,0.3775,24.61
9458,21.76,0.1581,21.76
9557,18.12,0.0085,18.12
10085,13.81,0,13.81
10129,10.5,0,10.5
9521,7.32,0,7.32
8599,4.53,0,4.53
7736,2.68,0,2.68
7203,2.49,0,2.49
6932,1.8,0,1.8
6819,1.66,0,1.66
6832,2.46,0,2.46
7077,4.43,0,4.43
7830,7.27,0,7.27
9084,10.98,0.0496,10.98
9768,15,0.2468,15
9830,18.95,0.4598,18.95
9815,21.02,0.625,21.02
9799,21.68,0.7514,21.68
9714,22.62,0.7624,22.62
9585,24.07,0.7642,24.07
9479,25.15,0.7554,25.15
9337,26.32,0.7045,26.32
9240,26.98,0.5605,26.98
9233,25.67,0.3719,25.67
9323,23.24,0.1554,23.24
9414,19.29,0.01,19.29
9937,14.93,0,14.93
9994,11.4,0,11.4
9333,8.83,0,8.83
8389,6.2,0,6.2
7527,3.95,0,3.95
6960,1.69,0,1.69
6679,1.24,0,1.24
6534,1.74,0,1.74
6513,4.05,0,4.05
6704,8.71,0,8.71
7411,14,0,14
8627,17.32,0.0491,17.32
9314,19.85,0.2141,19.85
9432,20.91,0.4515,20.91
9460,20.01,0.6117,20.01
9522,19.9,0.6309,19.9
9523,20.63,0.7525,20.63
9440,21.93,0.7496,21.93
9418,22.77,0.7257,22.77
9338,24.62,0.6541,24.62
9238,26.14,0.4976,26.14
9239,25.41,0.3381,25.41
9325,23.89,0.147,23.89
9410,19.68,0.0018,19.68
9863,14.45,0,14.45
9842,10.46,0,10.46
9200,7.87,0,7.87
8287,4.67,0,4.67
7424,2.64,0,2.64
6905,1.76,0,1.76
6630,1.29,0,1.29
6508,1.82,0,1.82
6509,4.23,0,4.23
6735,9.1,0,9.1
7448,14.62,0,14.62
8697,18.08,0.0491,18.08
9414,20.72,0.2422,20.72
9560,21.84,0.4257,21.84
9634,20.9,0.546,20.9
9685,20.78,0.6216,20.78
9653,21.54,0.5762,21.54
9554,22.89,0.5653,22.89
9489,23.77,0.6065,23.77
9323,25.71,0.6343,25.71
9189,27.3,0.5315,27.3
9160,26.53,0.2983,26.53
9222,24.95,0.16,24.95
9281,20.54,0.014,20.54
9725,15.09,0,15.09
9827,10.92,0,10.92
9316,8.22,0,8.22
8468,4.87,0,4.87
7652,2.76,0,2.76
7106,1.86,0,1.86
6821,1.36,0,1.36
6690,1.92,0,1.92
6683,4.46,0,4.46
6860,9.61,0,9.61
7437,15.44,0,15.44
8328,19.1,0.0569,19.1
9012,21.89,0.2498,21.89
9323,23.07,0.4465,23.07
9474,22.07,0.5542,22.07
9513,21.95,0.6096,21.95
9423,22.76,0.6639,22.76
9274,24.18,0.7193,24.18
9140,25.11,0.737,25.11
8946,27.16,0.6988,27.16
8784,28.83,0.562,28.83
8758,28.03,0.385,28.03
8814,26.35,0.1601,26.35
8848,21.7,0.0192,21.7
9241,15.94,0,15.94
9343,11.53,0,11.53
8918,8.68,0,8.68
8249,5.15,0,5.15
7548,2.91,0,2.91
7024,2.86,0,2.86
6720,2.02,0,2.02
6566,1.96,0,1.96
6515,2.74,0,2.74
6596,5.09,0,5.09
6865,8.36,0,8.36
7252,12.69,0.0555,12.69
7851,17.24,0.241,17.24
8444,21.85,0.4392,21.85
8754,24.2,0.6086,24.2
8824,24.98,0.7464,24.98
8769,26.13,0.757,26.13
8634,27.76,0.7343,27.76
8461,28.98,0.6407,28.98
8302,30.4,0.5061,30.4
8272,31.19,0.3957,31.19
8425,29.64,0.2808,29.64
8648,26.81,0.1299,26.81
8817,22.28,0,22.28
9170,17.32,0,17.32
9161,13.22,0,13.22
8740,10.32,0,10.32
8107,7.2,0,7.2
7414,4.66,0,4.66
6845,2.88,0,2.88
6515,3.71,0,3.71
6319,1.36,0,1.36
6247,2.12,0,2.12
6279,3.96,0,3.96
6458,6.5,0,6.5
6766,9.93,0.0464,9.93
7333,14.06,0.209,14.06
7978,18.37,0.3667,18.37
8380,23.64,0.4803,23.64
8520,27.01,0.4824,27.01
8601,27.7,0.45,27.7
8527,27.58,0.4528,27.58
8221,26.75,0.4866,26.75
7912,26.18,0.5044,26.18
7740,25.04,0.4501,25.04
7701,23.83,0.3317,23.83
7789,21.36,0.1451,21.36
8001,18.37,0.0059,18.37
8614,14.69,0,14.69
8920,11.71,0,11.71
8439,9.1,0,9.1
7707,6.56,0,6.56
7031,4.47,0,4.47
6579,1.62,0,1.62
6359,1.22,0,1.22
6277,1.75,0,1.75
6282,4,0,4
6511,8.24,0,8.24
7238,13.41,0,13.41
8426,16.79,0.0445,16.79
9225,19.24,0.2149,19.24
9508,20.24,0.3872,20.24
9628,21.43,0.5191,21.43
9735,25.41,0.6164,25.41
9736,27.06,0.6094,27.06
9657,27.86,0.6213,27.86
9585,27.33,0.5855,27.33
9429,27.06,0.5484,27.06
9322,25.94,0.4324,25.94
9323,24.61,0.2942,24.61
9432,21.76,0.1239,21.76
9526,18.12,0.0042,18.12
9928,13.81,0,13.81
9944,10.5,0,10.5
9255,7.32,0,7.32
8312,4.53,0,4.53
7435,2.68,0,2.68
6909,2.49,0,2.49
6643,1.8,0,1.8
6523,1.66,0,1.66
6513,2.46,0,2.46
6737,4.43,0,4.43
7437,7.27,0,7.27
8592,10.98,0.0596,10.98
9316,15,0.2421,15
9460,18.95,0.4408,18.95
9521,21.02,0.5842,21.02
9583,21.68,0.6896,21.68
9561,22.62,0.6858,22.62
9503,24.07,0.6341,24.07
9480,25.15,0.5742,25.15
9352,26.32,0.5271,26.32
9242,26.98,0.4501,26.98
9257,25.67,0.3211,25.67
9331,23.24,0.1502,23.24
9395,19.29,0.0118,19.29
9811,14.93,0,14.93
9848,11.4,0,11.4
9175,8.83,0,8.83
8230,6.2,0,6.2
7377,3.95,0,3.95
6850,1.69,0,1.69
6579,1.24,0,1.24
6458,1.74,0,1.74
6458,4.05,0,4.05
6673,8.71,0,8.71
7373,14,0,14
8541,17.32,0.0674,17.32
9323,19.85,0.2425,19.85
9519,20.91,0.4158,20.91
9553,20.01,0.5463,20.01
9598,19.9,0.6386,19.9
9572,20.63,0.6422,20.63
9477,21.93,0.619,21.93
9433,22.77,0.535,22.77
9322,24.62,0.4947,24.62
9225,26.14,0.436,26.14
9248,25.41,0.31,25.41
9347,23.89,0.141,23.89
9442,19.68,0.0057,19.68
9864,14.45,0,14.45
9863,10.46,0,10.46
9208,7.87,0,7.87
8287,4.67,0,4.67
7446,2.64,0,2.64
6898,1.76,0,1.76
6610,1.29,0,1.29
6479,1.82,0,1.82
6475,4.23,0,4.23
6676,9.1,0,9.1
7384,14.62,0,14.62
8535,18.08,0.0646,18.08
9278,20.72,0.24,20.72
9466,21.84,0.4124,21.84
9522,20.9,0.5387,20.9
9555,20.78,0.5942,20.78
9563,21.54,0.5769,21.54
9526,22.89,0.5447,22.89
9515,23.77,0.5418,23.77
9401,25.71,0.534,25.71
9313,27.3,0.4351,27.3
9341,26.53,0.2974,26.53
9451,24.95,0.1269,24.95
9480,20.54,0.0095,20.54
9823,15.09,0,15.09
9873,10.92,0,10.92
9273,8.22,0,8.22
8381,4.87,0,4.87
7528,2.76,0,2.76
6991,1.86,0,1.86
6724,1.36,0,1.36
6596,1.92,0,1.92
6596,4.46,0,4.46
6801,9.61,0,9.61
7481,15.44,0,15.44
8587,19.1,0.0702,19.1
9306,21.89,0.2614,21.89
9447,23.07,0.4627,23.07
9497,22.07,0.6166,22.07
9541,21.95,0.7112,21.95
9480,22.76,0.716,22.76
9372,24.18,0.7297,24.18
9309,25.11,0.7274,25.11
9166,27.16,0.6825,27.16
9001,28.83,0.5492,28.83
8930,28.03,0.3739,28.03
8879,26.35,0.1552,26.35
8805,21.7,0.0324,21.7
9104,15.94,0,15.94
9280,11.53,0,11.53
8797,8.68,0,8.68
8077,5.15,0,5.15
7300,2.91,0,2.91
6755,2.86,0,2.86
6437,2.02,0,2.02
6256,1.96,0,1.96
6218,2.74,0,2.74
6288,5.09,0,5.09
6558,8.36,0,8.36
6904,12.69,0.0727,12.69
7527,17.24,0.2557,17.24
8079,21.85,0.4497,21.85
8418,24.2,0.5925,24.2
8551,24.98,0.704,24.98
8516,26.13,0.7225,26.13
8391,27.76,0.701,27.76
8236,28.98,0.6769,28.98
8100,30.4,0.5474,30.4
8053,31.19,0.3879,31.19
8086,29.64,0.2913,29.64
8187,26.81,0.1353,26.81
8236,22.28,0.0179,22.28
8553,17.32,0,17.32
8701,13.22,0,13.22
8272,10.32,0,10.32
7634,7.2,0,7.2
6991,4.66,0,4.66
6480,2.88,0,2.88
6158,3.71,0,3.71
5969,1.36,0,1.36
5896,2.12,0,2.12
5909,3.96,0,3.96
6047,6.5,0,6.5
6242,9.93,0.0607,9.93
6709,14.06,0.2295,14.06
7350,18.37,0.3989,18.37
7840,23.64,0.5445,23.64
8098,27.01,0.6313,27.01
8243,27.7,0.5756,27.7
8274,27.58,0.4796,27.58
8213,26.75,0.4497,26.75
8162,26.18,0.3945,26.18
8179,25.04,0.3274,25.04
8311,23.83,0.224,23.83
8505,21.36,0.1102,21.36
8581,18.37,0.0001,18.37
8893,14.69,0,14.69
9031,11.71,0,11.71
8517,9.1,0,9.1
7798,6.56,0,6.56
7111,4.47,0,4.47
6608,1.62,0,1.62
6319,1.22,0,1.22
6171,1.75,0,1.75
6140,4,0,4
6304,8.24,0,8.24
6864,13.41,0,13.41
7669,16.79,0.0551,16.79
8552,19.24,0.2308,19.24
9208,20.24,0.4115,20.24
9678,21.43,0.5502,21.43
10054,25.41,0.6653,25.41
10306,27.06,0.6636,27.06
10463,27.86,0.6573,27.86
10571,27.33,0.6282,27.33
10601,27.06,0.5712,27.06
10595,25.94,0.4475,25.94
10578,24.61,0.3088,24.61
10493,21.76,0.1392,21.76
10297,18.12,0.0306,18.12
10362,13.81,0,13.81
10475,10.5,0,10.5
9742,7.32,0,7.32
8736,4.53,0,4.53
7797,2.68,0,2.68
7146,2.49,0,2.49
6771,1.8,0,1.8
6542,1.66,0,1.66
6446,2.46,0,2.46
6587,4.43,0,4.43
7134,7.27,0,7.27
7988,10.98,0.0631,10.98
8934,15,0.2384,15
9489,18.95,0.4278,18.95
9825,21.02,0.5697,21.02
10073,21.68,0.6876,21.68
10198,22.62,0.6993,22.62
10251,24.07,0.6955,24.07
10355,25.15,0.6864,25.15
10366,26.32,0.6366,26.32
10344,26.98,0.5082,26.98
10320,25.67,0.3536,25.67
10229,23.24,0.1506,23.24
9971,19.29,0.0365,19.29
10006,14.93,0,14.93
10099,11.4,0,11.4
9367,8.83,0,8.83
8375,6.2,0,6.2
7490,3.95,0,3.95
6852,1.69,0,1.69
6487,1.24,0,1.24
6289,1.74,0,1.74
6208,4.05,0,4.05
6345,8.71,0,8.71
6882,14,0,14
7683,17.32,0.0781,17.32
8510,19.85,0.2608,19.85
8923,20.91,0.4544,20.91
9152,20.01,0.599,20.01
9329,19.9,0.7065,19.9
9411,20.63,0.7095,20.63
9385,21.93,0.6849,21.93
9389,22.77,0.697,22.77
9300,24.62,0.4869,24.62
9163,26.14,0.3611,26.14
9136,25.41,0.252,25.41
9176,23.89,0.1208,23.89
9180,19.68,0.0097,19.68
9428,14.45,0,14.45
9490,10.46,0,10.46
8880,7.87,0,7.87
8025,4.67,0,4.67
7210,2.64,0,2.64
6671,1.76,0,1.76
6372,1.29,0,1.29
6204,1.82,0,1.82
6173,4.23,0,4.23
6352,9.1,0,9.1
6918,14.62,0,14.62
7804,18.08,0.073,18.08
8620,20.72,0.2431,20.72
8997,21.84,0.4253,21.84
9231,20.9,0.575,20.9
9413,20.78,0.6945,20.78
9495,21.54,0.7176,21.54
9478,22.89,0.7241,22.89
9481,23.77,0.7208,23.77
9413,25.71,0.663,25.71
9334,27.3,0.5295,27.3
9320,26.53,0.3579,26.53
9286,24.95,0.1521,24.95
9175,20.54,0.0416,20.54
9350,15.09,0,15.09
9569,10.92,0,10.92
8983,8.22,0,8.22
8108,4.87,0,4.87
7267,2.76,0,2.76
6718,1.86,0,1.86
6418,1.36,0,1.36
6266,1.92,0,1.92
6202,4.46,0,4.46
6357,9.61,0,9.61
6865,15.44,0,15.44
7671,19.1,0.0778,19.1
8476,21.89,0.2571,21.89
8954,23.07,0.4415,23.07
9292,22.07,0.5769,22.07
9542,21.95,0.659,21.95
9660,22.76,0.648,22.76
9654,24.18,0.6455,24.18
9664,25.11,0.6584,25.11
9581,27.16,0.6393,27.16
9465,28.83,0.5194,28.83
9382,28.03,0.3527,28.03
9251,26.35,0.1498,26.35
9025,21.7,0.0324,21.7
9124,15.94,0,15.94
9270,11.53,0,11.53
8744,8.68,0,8.68
8003,5.15,0,5.15
7237,2.91,0,2.91
6672,2.86,0,2.86
6341,2.02,0,2.02
6150,1.96,0,1.96
6065,2.74,0,2.74
6112,5.09,0,5.09
6317,8.36,0,8.36
6622,12.69,0.0573,12.69
7218,17.24,0.1902,17.24
7883,21.85,0.3846,21.85
8360,24.2,0.508,24.2
8615,24.98,0.61,24.98
8701,26.13,0.6501,26.13
8697,27.76,0.6423,27.76
8640,28.98,0.6489,28.98
8583,30.4,0.5848,30.4
8570,31.19,0.4683,31.19
8630,29.64,0.3278,29.64
8717,26.81,0.1379,26.81
8680,22.28,0.0234,22.28
8838,17.32,0,17.32
9013,13.22,0,13.22
8561,10.32,0,10.32
7906,7.2,0,7.2
7234,4.66,0,4.66
6682,2.88,0,2.88
6348,3.71,0,3.71
6133,1.36,0,1.36
6022,2.12,0,2.12
6017,3.96,0,3.96
6125,6.5,0,6.5
6275,9.93,0.0323,9.93
6726,14.06,0.1293,14.06
7349,18.37,0.1894,18.37
7889,23.64,0.2513,23.64
8223,27.01,0.3005,27.01
8446,27.7,0.3063,27.7
8560,27.58,0.3569,27.58
8565,26.75,0.3508,26.75
8530,26.18,0.2968,26.18
8569,25.04,0.2386,25.04
8750,23.83,0.1541,23.83
8957,21.36,0.0215,21.36
9117,18.37,0,18.37
9243,14.69,0,14.69
9100,11.71,0,11.71
8489,9.1,0,9.1
7756,6.56,0,6.56
7072,4.47,0,4.47
6626,1.62,0,1.62
6392,1.22,0,1.22
6286,1.75,0,1.75
6264,4,0,4
6445,8.24,0,8.24
7127,13.41,0,13.41
8305,16.79,0,16.79
9197,19.24,0.0092,19.24
9568,20.24,0.0916,20.24
9755,21.43,0.3281,21.43
9891,25.41,0.423,25.41
9947,27.06,0.4581,27.06
9884,27.86,0.4584,27.86
9840,27.33,0.4346,27.33
9705,27.06,0.3725,27.06
9597,25.94,0.3797,25.94
9638,24.61,0.266,24.61
9752,21.76,0.1099,21.76
9732,18.12,0.0132,18.12
9838,13.81,0,13.81
9811,10.5,0,10.5
9119,7.32,0,7.32
8183,4.53,0,4.53
7329,2.68,0,2.68
6780,2.49,0,2.49
6519,1.8,0,1.8
6377,1.66,0,1.66
6350,2.46,0,2.46
6542,4.43,0,4.43
7181,7.27,0,7.27
8243,10.98,0.0942,10.98
9045,15,0.2605,15
9303,18.95,0.4075,18.95
9450,21.02,0.5245,21.02
9554,21.68,0.6,21.68
9546,22.62,0.612,22.62
9473,24.07,0.6225,24.07
9439,25.15,0.7787,25.15
9335,26.32,0.5473,26.32
9235,26.98,0.4565,26.98
9250,25.67,0.323,25.67
9308,23.24,0.1512,23.24
9325,19.29,0.0499,19.29
9589,14.93,0,14.93
9834,11.4,0,11.4
9223,8.83,0,8.83
8266,6.2,0,6.2
7403,3.95,0,3.95
6846,1.69,0,1.69
6563,1.24,0,1.24
6434,1.74,0,1.74
6396,4.05,0,4.05
6607,8.71,0,8.71
7258,14,0.0005,14
8321,17.32,0.0872,17.32
9055,19.85,0.2712,19.85
9248,20.91,0.4665,20.91
9365,20.01,0.6087,20.01
9445,19.9,0.7054,19.9
9476,20.63,0.6586,20.63
9431,21.93,0.5991,21.93
9411,22.77,0.5881,22.77
9284,24.62,0.573,24.62
9200,26.14,0.4545,26.14
9217,25.41,0.3241,25.41
9275,23.89,0.1461,23.89
9314,19.68,0.0381,19.68
9529,14.45,0,14.45
9704,10.46,0,10.46
9135,7.87,0,7.87
8240,4.67,0,4.67
7404,2.64,0,2.64
6841,1.76,0,1.76
6546,1.29,0,1.29
6427,1.82,0,1.82
6427,4.23,0,4.23
6632,9.1,0,9.1
7306,14.62,0.0493,14.62
8374,18.08,0.0917,18.08
9114,20.72,0.2768,20.72
9313,21.84,0.4619,21.84
9396,20.9,0.6047,20.9
9470,20.78,0.7077,20.78
9511,21.54,0.6966,21.54
9475,22.89,0.6007,22.89
9481,23.77,0.5188,23.77
9380,25.71,0.4571,25.71
9301,27.3,0.3729,27.3
9388,26.53,0.2741,26.53
9586,24.95,0.1203,24.95
9647,20.54,0.0016,20.54
9786,15.09,0,15.09
9784,10.92,0,10.92
9146,8.22,0,8.22
8222,4.87,0,4.87
7374,2.76,0,2.76
6808,1.86,0,1.86
6500,1.36,0,1.36
6337,1.92,0,1.92
6299,4.46,0,4.46
6456,9.61,0,9.61
7064,15.44,0,15.44
8119,19.1,0.0835,19.1
8944,21.89,0.2597,21.89
9257,23.07,0.426,23.07
9407,22.07,0.5534,22.07
9502,21.95,0.7817,21.95
9483,22.76,0.6721,22.76
9385,24.18,0.6865,24.18
9325,25.11,0.6856,25.11
9177,27.16,0.6293,27.16
9030,28.83,0.513,28.83
8992,28.03,0.3588,28.03
8973,26.35,0.1693,26.35
8944,21.7,0.0613,21.7
9191,15.94,0,15.94
9489,11.53,0,11.53
9078,8.68,0,8.68
8354,5.15,0,5.15
7594,2.91,0,2.91
7027,2.86,0,2.86
6707,2.02,0,2.02
6558,1.96,0,1.96
6503,2.74,0,2.74
6590,5.09,0,5.09
6823,8.36,0.0969,8.36
7156,12.69,0.0994,12.69
7814,17.24,0.267,17.24
8360,21.85,0.4652,21.85
8647,24.2,0.6177,24.2
8695,24.98,0.7405,24.98
8627,26.13,0.7489,26.13
8476,27.76,0.7483,27.76
8298,28.98,0.7424,28.98
8138,30.4,0.6644,30.4
8042,31.19,0.5355,31.19
8087,29.64,0.3457,29.64
8203,26.81,0.15,26.81
8278,22.28,0.059,22.28
8497,17.32,0,17.32
8824,13.22,0,13.22
8473,10.32,0,10.32
7862,7.2,0,7.2
7216,4.66,0,4.66
6678,2.88,0,2.88
6379,3.71,0,3.71
6231,1.36,0,1.36
6183,2.12,0,2.12
6226,3.96,0,3.96
6358,6.5,0.0968,6.5
6566,9.93,0.0959,9.93
7057,14.06,0.2821,14.06
7611,18.37,0.4778,18.37
8009,23.64,0.6264,23.64
8176,27.01,0.7379,27.01
8248,27.7,0.758,27.7
8210,27.58,0.7581,27.58
8101,26.75,0.7456,26.75
7983,26.18,0.6691,26.18
7964,25.04,0.5448,25.04
8083,23.83,0.3721,23.83
8309,21.36,0.1593,21.36
8451,18.37,0.0698,18.37
8721,14.69,0,14.69
9116,11.71,0,11.71
8590,9.1,0,9.1
7786,6.56,0,6.56
7052,4.47,0,4.47
6583,1.62,0,1.62
6346,1.22,0,1.22
6259,1.75,0,1.75
6291,4,0,4
6536,8.24,0,8.24
7230,13.41,0.1109,13.41
8393,16.79,0.098,16.79
9173,19.24,0.2796,19.24
9327,20.24,0.4674,20.24
9413,21.43,0.6082,21.43
9479,25.41,0.7158,25.41
9472,27.06,0.6519,27.06
9405,27.86,0.6012,27.86
9386,27.33,0.5879,27.33
9285,27.06,0.5462,27.06
9188,25.94,0.4003,25.94
9181,24.61,0.2505,24.61
9244,21.76,0.1252,21.76
9319,18.12,0.0221,18.12
9578,13.81,0,13.81
9769,10.5,0,10.5
9077,7.32,0,7.32
8118,4.53,0,4.53
7258,2.68,0,2.68
6709,2.49,0,2.49
6451,1.8,0,1.8
6313,1.66,0,1.66
6280,2.46,0,2.46
6440,4.43,0,4.43
7103,7.27,0,7.27
8260,10.98,0.0012,10.98
9180,15,0.0441,15
9544,18.95,0.1344,18.95
9773,21.02,0.2087,21.02
9907,21.68,0.3106,21.68
10041,22.62,0.3357,22.62
10019,24.07,0.3555,24.07
9939,25.15,0.3706,25.15
9828,26.32,0.393,26.32
9744,26.98,0.3865,26.98
9809,25.67,0.2835,25.67
9948,23.24,0.1398,23.24
9948,19.29,0.0212,19.29
10011,14.93,0,14.93
10004,11.4,0,11.4
9333,8.83,0,8.83
8343,6.2,0,6.2
7472,3.95,0,3.95
6901,1.69,0,1.69
6596,1.24,0,1.24
6443,1.74,0,1.74
6407,4.05,0,4.05
6579,8.71,0,8.71
7221,14,0,14
8370,17.32,0.0938,17.32
9232,19.85,0.2344,19.85
9484,20.91,0.3352,20.91
9630,20.01,0.3986,20.01
9749,19.9,0.3991,19.9
9754,20.63,0.425,20.63
9685,21.93,0.5339,21.93
9652,22.77,0.5171,22.77
9539,24.62,0.5028,24.62
9443,26.14,0.4266,26.14
9476,25.41,0.3027,25.41
9590,23.89,0.1497,23.89
9674,19.68,0.0267,19.68
9848,14.45,0,14.45
9917,10.46,0,10.46
9286,7.87,0,7.87
8311,4.67,0,4.67
7439,2.64,0,2.64
6861,1.76,0,1.76
6565,1.29,0,1.29
6405,1.82,0,1.82
6366,4.23,0,4.23
6544,9.1,0,9.1
7180,14.62,0,14.62
8344,18.08,0.0066,18.08
9230,20.72,0.1643,20.72
9513,21.84,0.3256,21.84
9662,20.9,0.4547,20.9
9776,20.78,0.5008,20.78
9809,21.54,0.5252,21.54
9733,22.89,0.5246,22.89
9711,23.77,0.5286,23.77
9570,25.71,0.5154,25.71
9474,27.3,0.4331,27.3
9521,26.53,0.3071,26.53
9626,24.95,0.1464,24.95
9664,20.54,0.0363,20.54
9815,15.09,0,15.09
9884,10.92,0,10.92
9262,8.22,0,8.22
8295,4.87,0,4.87
7414,2.76,0,2.76
6838,1.86,0,1.86
6519,1.36,0,1.36
6355,1.92,0,1.92
6311,4.46,0,4.46
6470,9.61,0,9.61
7079,15.44,0,15.44
8216,19.1,0.0615,19.1
9099,21.89,0.1816,21.89
9462,23.07,0.3186,23.07
9642,22.07,0.4432,22.07
9815,21.95,0.4334,21.95
9838,22.76,0.4417,22.76
9781,24.18,0.4653,24.18
9747,25.11,0.4785,25.11
9601,27.16,0.4424,27.16
9472,28.83,0.4038,28.83
9462,28.03,0.275,28.03
9435,26.35,0.1259,26.35
9349,21.7,0.0128,21.7
9360,15.94,0,15.94
9471,11.53,0,11.53
8998,8.68,0,8.68
8240,5.15,0,5.15
7445,2.91,0,2.91
6810,2.86,0,2.86
6460,2.02,0,2.02
6244,1.96,0,1.96
6146,2.74,0,2.74
6178,5.09,0,5.09
6377,8.36,0,8.36
6749,12.69,0.0244,12.69
7402,17.24,0.1612,17.24
8089,21.85,0.2826,21.85
8534,24.2,0.4098,24.2
8730,24.98,0.4915,24.98
8769,26.13,0.5294,26.13
8682,27.76,0.51,27.76
8539,28.98,0.6343,28.98
8400,30.4,0.4632,30.4
8305,31.19,0.341,31.19
8298,29.64,0.2327,29.64
8349,26.81,0.1225,26.81
8331,22.28,0.0432,22.28
8426,17.32,0,17.32
8744,13.22,0,13.22
8420,10.32,0,10.32
7804,7.2,0,7.2
7145,4.66,0,4.66
6616,2.88,0,2.88
6285,3.71,0,3.71
6090,1.36,0,1.36
5995,2.12,0,2.12
5996,3.96,0,3.96
6081,6.5,0.0464,6.5
6265,9.93,0.1035,9.93
6773,14.06,0.2664,14.06
7392,18.37,0.4112,18.37
7861,23.64,0.5047,23.64
8108,27.01,0.5421,27.01
8206,27.7,0.5389,27.7
8208,27.58,0.5425,27.58
8126,26.75,0.5567,26.75
8015,26.18,0.561,26.18
7992,25.04,0.4936,25.04
8112,23.83,0.343,23.83
8327,21.36,0.1536,21.36
8459,18.37,0.0619,18.37
8642,14.69,0,14.69
9067,11.71,0,11.71
8566,9.1,0,9.1
7760,6.56,0,6.56
7002,4.47,0,4.47
6463,1.62,0,1.62
6193,1.22,0,1.22
6076,1.75,0,1.75
6057,4,0,4
6268,8.24,0,8.24
6857,13.41,0.08,13.41
7994,16.79,0.0962,16.79
8871,19.24,0.2692,19.24
9169,20.24,0.4479,20.24
9360,21.43,0.5826,21.43
9545,25.41,0.683,25.41
9628,27.06,0.6924,27.06
9623,27.86,0.6825,27.86
9645,27.33,0.6547,27.33
9563,27.06,0.5878,27.06
9453,25.94,0.4732,25.94
9409,24.61,0.3272,24.61
9370,21.76,0.153,21.76
9301,18.12,0.0376,18.12
9451,13.81,0,13.81
9724,10.5,0,10.5
9095,7.32,0,7.32
8107,4.53,0,4.53
7211,2.68,0,2.68
6643,2.49,0,2.49
6345,1.8,0,1.8
6185,1.66,0,1.66
6141,2.46,0,2.46
6317,4.43,0,4.43
6914,7.27,0.0003,7.27
8053,10.98,0.1183,10.98
8980,15,0.2276,15
9314,18.95,0.3245,18.95
9508,21.02,0.3045,21.02
9683,21.68,0.3433,21.68
9738,22.62,0.3785,22.62
9681,24.07,0.438,24.07
9696,25.15,0.364,25.15
9605,26.32,0.3523,26.32
9555,26.98,0.2649,26.98
9662,25.67,0.1739,25.67
9823,23.24,0.068,23.24
9815,19.29,0.0032,19.29
9866,14.93,0,14.93
9832,11.4,0,11.4
9155,8.83,0,8.83
8208,6.2,0,6.2
7342,3.95,0,3.95
6759,1.69,0,1.69
6459,1.24,0,1.24
6300,1.74,0,1.74
6254,4.05,0,4.05
6423,8.71,0,8.71
7054,14,0,14
8227,17.32,0.0147,17.32
9197,19.85,0.0856,19.85
9553,20.91,0.1722,20.91
9767,20.01,0.2509,20.01
9941,19.9,0.3024,19.9
10013,20.63,0.3723,20.63
9977,21.93,0.3725,21.93
9971,22.77,0.3379,22.77
9859,24.62,0.3128,24.62
9795,26.14,0.235,26.14
9864,25.41,0.1418,25.41
9949,23.89,0.0599,23.89
9895,19.68,0.0025,19.68
9935,14.45,0,14.45
9918,10.46,0,10.46
9279,7.87,0,7.87
8308,4.67,0,4.67
